P_NOMO2	P_ABCE1	P_TPR	P_DDB1	P_MYOF	P_PYGL	P_P4HA1	P_NUCB2	P_UGDH	P_LMAN2	P_MYO1B	P_AP2A1	P_MYH10	P_MYO1C	P_MCM6	P_LMO7	P_COPG1	P_ANLN	P_GPC1	P_CDC5L	P_NUP93	P_CSPG4	P_CEMIP
GM02063_GM847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1
IIICF_E6E7_C4_pre_IIICF_E6E7_C4_post	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0
IIICF_IIICF_402DE_D2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IIICF_IIICF_a2	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0
IIICF_IIICF_c	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0
IIICF_IIICF_d2	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
IIICF_IIICF_E6_A1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IIICF_IIICF_E6_A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IIICF_IIICF_E6E7_A1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IIICF_IIICF_T_A6	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IIICF_IIICF_T_B1	0	0	0	0	-1	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	-1	0
IIICF_IIICF_T_B3	0	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	-1	0	0	0	0	0	-1	0
IIICF_IIICF_T_C3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
IIICF_IIICF_T_C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
IVG_BF_LXSN_pre_IVG_BF_LXSN_post	0	0	0	0	-1	0	-1	-1	0	0	-1	0	-1	-1	0	-1	-1	0	0	0	0	0	0
JFCF_6_JFCF_6_P_pLKO_5	-1	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	-1	0	0	-1	0	0	1	-1
JFCF_6_JFCF_6_T_1_C	0	0	1	0	-1	0	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	0	0	1	0	0	-1
JFCF_6_JFCF_6_T_1_D	0	0	1	0	-1	0	-1	0	-1	0	0	0	0	0	1	-1	0	1	0	0	0	1	-1
JFCF_6_JFCF_6_T_1_F	0	0	1	0	0	1	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	-1
JFCF_6_JFCF_6_T_1_G	0	1	0	0	0	1	-1	-1	0	-1	0	-1	-1	-1	1	-1	0	0	0	0	0	1	-1
JFCF_6_JFCF_6_T_1_H	0	1	1	0	0	0	-1	0	-1	0	0	0	0	0	1	-1	0	0	-1	0	1	0	-1
JFCF_6_JFCF_6_T_1_L	-1	0	1	0	-1	0	-1	0	0	0	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
JFCF_6_JFCF_6_T_1_M	-1	0	1	0	-1	0	-1	0	0	0	0	0	0	0	1	-1	0	0	-1	0	0	1	-1
JFCF_6_JFCF_6_T_1_P_ALT	0	0	0	0	0	0	-1	0	0	0	-1	0	-1	-1	1	-1	-1	0	0	0	0	0	-1
JFCF_6_JFCF_6_T_1_P_TEL	0	1	1	0	0	0	-1	0	-1	-1	0	0	0	0	1	-1	0	1	0	1	0	0	-1
JFCF_6_JFCF_6_T_1_R	0	0	1	0	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	-1
JFCF_6_JFCF_6_T_1J_1_3C	0	0	1	0	-1	0	-1	-1	-1	0	0	0	-1	0	0	0	0	1	0	1	0	0	-1
JFCF_6_JFCF_6_T_1J_11C	-1	0	1	0	0	0	-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	1	-1
JFCF_6_JFCF_6_T_1J_11E	-1	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	1	0	-1	0	0	0	0	0	-1
JFCF_6_JFCF_6_T_2H	0	0	1	0	0	1	-1	-1	0	0	0	0	0	0	1	-1	0	0	-1	1	1	1	-1
JFCF_6_JFCF_6_T_5K	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	1	-1
LFS_05F_24_pre_LFS_05F_24_post	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MeT_4A_pre_MeT_4A_post	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0
WI38_VA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
